№,Страна,[a],"ВВП,",$млрд,[b]
91,Бахрейн,44.4
92,Камерун,44.3
93,Боливия,44.0
94,Парагвай,41.7
95,Латвия,40.9
96,Ливия,40.5,[s]
97,Непал,39.4
98,Ливан,39.3,[s]
99,Эстония,38.0
100,Судан,36.7,[s]
101,Сальвадор,32.5
102,Гондурас,31.7
103,Папуа — Новая Гвинея,31.6
104,Тринидад и Тобаго,30.1
105,Камбоджа,29.5
106,Кипр,29.2
107,Замбия,29.1
108,Исландия,28.1
109,Сенегал,27.8
110,Зимбабве,26.4,[s]
111,Грузия,24.6
112,Босния и Герцеговина,24.5
—,Макао,[d],24.0
113,Гвинея,20.8,[s]
114,Ботсвана,20.4
115,Габон,20.1
116,Армения,19.5
117,Буркина-Фасо,19.2
—,Государство Палестина,[c],19.1
118,Албания,18.9
119,Мали,18.83
120,Гаити,18.75
121,Сирия,18.6,[s]
122,Мозамбик,18.4
123,Мальта,18.1
124,Бенин,17.4
125,Монголия,17.15
126,Ямайка,17.10
127,Чад,16.8,[s]
128,Бруней,16.7
129,Никарагуа,15.7
130,Нигер,15.41
131,Лаос,15.36
132,Республика Конго,15.3,[s]
133,КНДР,15.2,[s]
134,Мадагаскар,15.0
135,Гайана,14.7
136,Молдавия,14.5
137,Афганистан,14.2
138,Северная Македония,13.7
139,Руанда,13.3
140,Маврикий,12.898
141,Багамские Острова,12.897
142,Намибия,12.61
143,Малави,12.56
144,Экваториальная Гвинея,11.8
145,Йемен,11.01,[s]
146,Мавритания,11.00
147,Кыргызстан,10.9
148,Таджикистан,10.5
149,Сомали,10.4,[s]
—,Новая Каледония,[j],9.62
—,Республика Косово,[c],9.40
150,Монако,8.77
151,Того,8.09,[s]
152,Лихтенштейн,7.76,[s]
—,Бермуды,[l],7.55
—,Острова Кайман,[l],6.28,[s]
153,Черногория,6.23
154,Мальдивы,6.17
—,Французская Полинезия,[m],5.81
155,Барбадос,5.70
156,Фиджи,4.98
157,Южный Судан,4.62,[s]
158,Эсватини,4.33,[s]
159,Бурунди,4.03,[s]
160,Джибути,4.00,[s]
161,Суринам,3.62
—,Аруба,[g],3.54
162,Сьерра-Леоне,3.48
163,Андорра,3.38
164,Либерия,3.27
165,Восточный Тимор,3.20
—,Кюрасао,[g],3.08
—,Гренландия,[n],2.93,[s]
166,Бутан,2.90
167,Белиз,2.83
168,ЦАР,2.40,[s]
169,Эритрея,2.38
—,Занзибар,[q],2.36
170,Кабо-Верде,2.31
171,Лесото,2.29,[s]
172,Гамбия,2.23
173,Сент-Люсия,2.17,[s]
174,Сейшельские Острова,1.99
175,Сан-Марино,1.78,[s]
176,Антигуа и Барбуда,1.77
177,Соломоновы Острова,1.60,[s]
178,Гвинея-Бисау,1.574,[s]
—,Синт-Мартен,[g],1.573
—,Виргинские Острова (Великобритания),[l],1.47,[s]
179,Коморы,1.25
180,Гренада,1.19
—,Теркс и Кайкос,[l],1.14
181,Вануату,0.985
182,Сент-Китс и Невис,0.979
183,Сент-Винсент и Гренадины,0.947
184,Самоа,0.857
185,Доминика,0.612
186,Сан-Томе и Принсипи,0.547
187,Тонга,0.488,[s]
—,Ангилья,[l],0.453
188,Микронезия,0.427
—,Острова Кука,[r],0.290
189,Маршалловы Острова,0.280
190,Палау,0.226,[s]
191,Кирибати,0.224
192,Науру,0.148,[s]
—,Монтсеррат,[l],0.072
193,Тувалу,0.059,[s]
Всего в мире,100834.8
